7 1001 54725.884   6.592 0.013 279 ASPer
8 1001 54725.884   6.403 0.017 279 ASPer
6 1001 54726.922   6.862 0.014 279 ASPer
7 1001 54726.922   6.486 0.013 279 ASPer
8 1001 54726.922   6.304 0.017 279 ASPer
6 1001 54732.908   6.814 0.014 279 ASPer
7 1001 54732.908   6.396 0.013 279 ASPer
8 1001 54732.908   6.215 0.017 279 ASPer
6 1001 54735.880   7.107 0.014 279 ASPer
7 1001 54735.880   6.586 0.013 279 ASPer
8 1001 54735.880   6.478 0.017 279 ASPer
6 1001 54736.965   6.818 0.014 279 ASPer
7 1001 54736.965   6.434 0.013 279 ASPer
8 1001 54736.965   6.281 0.017 279 ASPer
6 1001 54738.865   6.884 0.014 279 ASPer
